CUST_ID,da_Mean,rev_Range,mou_Range,change_mou,unan_vce_Mean,owylis_vce_Mean,mouowylisv_Mean,peak_vce_Mean,mou_peav_Mean,opk_vce_Mean,mou_opkv_Mean,crclscod,asl_flag,totcalls,totmou,avgmou,hnd_price,lor,dwlltype,marital,wrkwoman,proptype,pcowner,kid0_2,kid6_10,kid11_15,kid16_17,car_buy
23,0,0,0,0,0,0,0,0,0,0,0,ZA,N,5923,13690,675.15,29.98999023,2,M,S,,,,U,U,U,U,UNKNOWN
24,0.2475,107.82,539,303.75,15.66666667,41.33333333,30.59666667,72.66666667,242.2966667,31.33333333,82.18666667,AA,N,1069,3235,246.31,29.98999023,1,M,M,Y,,,U,U,U,U,New
25,0.495,10.73,120,-45.5,4.333333333,1.333333333,1.883333333,18.66666667,20.7,10.33333333,12.99333333,A,N,1047,2589,160.56,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
26,1.7325,52.78,438,-33.5,34.33333333,37,43.4,179,303.3433333,34,58.19,A,N,6651,16780,519.34,29.98999023,4,S,M,,A,,U,U,U,U,UNKNOWN
27,0.495,4.6,357,215.25,27.66666667,35,41.89333333,62.33333333,77.40333333,90,130.03,AA,N,1743,4080,402.5,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
28,1.65,49.96,1058,92.66666667,105,25,19.10666667,111.3333333,211.7,123,195.19,E4,Y,1152,2537,416.33,149.9899902,3,S,S,,A,,U,U,U,U,UNKNOWN
29,0,2.8,77,31.75,35,11.33333333,7.493333333,73,95.13333333,11.33333333,12.54,BA,N,1045,2353,138.41,79.98999023,2,S,M,Y,,Y,Y,Y,U,U,New
30,0,43.94,464,-244.5,19.33333333,24,15.48,67.33333333,212.6933333,109.3333333,527.52,B,N,2418,9329,774.75,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
31,0.7425,23.48,701,-156.75,29,22,23.23333333,95.66666667,129.7233333,150,297.2666667,AA,N,2504,6081,551.55,149.9899902,15,S,M,,,,U,Y,Y,U,UNKNOWN
32,0,79.66,272,-120.75,42.66666667,19,32.51333333,167.6666667,370.5966667,61,142.9366667,AA,N,2140,5895,654.89,59.98999023,5,S,M,,,,Y,U,U,U,UNKNOWN
33,0.99,151.86,827,-300.25,9.666666667,0.666666667,1.05,44,103.8233333,3.666666667,4.496666667,AA,N,3004,7217,721,149.9899902,8,S,M,,,Y,U,Y,U,Y,UNKNOWN
34,0,66.68,158,10.5,44,7.666666667,8.243333333,69.33333333,160.8833333,67,247.7466667,AA,N,1289,5565,556.5,79.98999023,5,,U,,,,U,U,U,U,UNKNOWN
35,0.2475,43.2,963,172.25,94.33333333,56,47.95,292.3333333,346.2733333,166.6666667,389.46,AA,N,5241,9878,820.75,79.98999023,8,M,A,,,,U,U,U,U,UNKNOWN
36,0,7.41,34,16.5,2.333333333,0,0,3.666666667,5.113333333,5,7.076666667,A,N,134,222,9.48,29.98999023,15,S,M,,A,,U,U,U,U,New
37,0,7.02,40,-18.25,9.333333333,4.333333333,3.51,5.333333333,4.546666667,13.66666667,19.75666667,E,N,834,1915,95,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
38,0.2475,42.6,321,54.5,13,15,41.01,182.6666667,517.3233333,118.6666667,483.1566667,CA,N,4498,16983,996.12,79.98999023,5,,U,,,,U,U,U,U,UNKNOWN
39,0,0,74,-22.75,2.333333333,0,0,3,8.4,2,12.48666667,AA,N,164,476,42.82,59.98999023,15,S,M,,,,U,U,U,U,New
40,0,15.8,167,-46.75,49,9.333333333,10.78666667,115,212.72,95.33333333,208.43,A,N,4769,12670,517.5,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
41,0,98,492,-259,35,5.333333333,29.27333333,124.3333333,341.04,64,133.9066667,CA,Y,1984,6206,560.82,99.98999023,5,,U,,,,U,U,U,U,UNKNOWN
42,1.98,5.76,253,124.75,20.33333333,23.66666667,22.44,104,130.13,70,104.4833333,A,N,2425,4824,337.79,199.9899902,1,S,U,,,,U,U,U,U,UNKNOWN
43,0,24.6,199,138.5,20.66666667,16.33333333,14.77333333,39.33333333,64.62666667,18.33333333,18.21,C,N,1385,2823,81.31,29.98999023,7,S,M,,,,U,U,U,U,UNKNOWN
44,0,20.65,380,245.5,14.33333333,14.66666667,25.94333333,34.66666667,64.38666667,20.33333333,33.60666667,GY,N,1891,3915,166.26,99.98999023,2,M,S,,,,U,U,U,U,UNKNOWN
45,0,81.87,307,7.5,5.333333333,4,3.793333333,43.33333333,53.58,15.33333333,12.22666667,CA,Y,1185,2433,187.15,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
46,0.7425,144.49,634,297.75,0,0,0,0,0,0,0,AA,N,5363,23082,1046.95,79.98999023,1,S,M,Y,A,,Y,U,U,U,New
47,0,1.08,88,-29.75,2,1.666666667,0.373333333,29.66666667,43.74333333,25,33.58333333,AA,N,1886,3555,197.06,149.9899902,15,S,M,Y,,Y,U,U,U,U,New
48,3.7125,82.12,412,120,31.66666667,38.66666667,24.2,136.6666667,201.0533333,143.3333333,249.84,CA,Y,1516,3526,699.4,149.9899902,1,S,A,,A,,U,U,U,Y,UNKNOWN
49,5.94,8.56,111,-55.5,57,89,102.6566667,242.3333333,450.87,101,171.44,EA,N,5504,12237,913.62,129.9899902,4,S,M,,A,,U,U,U,U,New
50,1.7325,67.93,142,-85.5,67,14,22.77333333,349,994.2966667,268.6666667,731.8533333,AA,N,6232,20564,2050.5,99.98999023,3,M,U,,,,U,U,U,U,UNKNOWN
51,0,4.95,124,-78.25,2.333333333,14,18.49,28,44,18,33.74333333,AA,N,284,772,64.08,59.98999023,0,S,B,,,,U,U,U,U,UNKNOWN
52,0,0,206,-57,23.66666667,9.333333333,15.47666667,124.3333333,230.2133333,36.66666667,78.72,AA,N,1761,4789,478.2,149.9899902,4,S,M,,A,,U,U,U,U,New
53,0,10,221,-89.75,23.33333333,0,0,63,68.32666667,28,95.74666667,CA,Y,809,1642,109,29.98999023,5,M,A,,,,U,U,U,U,UNKNOWN
54,0,32.58,332,-17.25,13,9,3.88,28.66666667,178.07,62.66666667,593.6066667,AA,N,612,4009,668.17,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
55,0,0,71,10.5,35.66666667,32,35.19,51,96.78,83,377.4733333,AA,N,1229,7705,856.11,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
56,0.2475,0.99,250,-79.5,9.666666667,16,26.46,49,122.87,34.33333333,205.74,AA,N,856,3486,386.89,199.9899902,6,S,U,,A,,U,U,U,U,New
57,0.2475,4.86,41,-11.75,16.33333333,1.333333333,0.693333333,14.33333333,16.66333333,0.666666667,0.233333333,BA,N,348,583,24.29,79.98999023,4,S,A,,A,,U,Y,U,U,New
58,0,3.18,70,-44.5,0,0,0,0,0,0,0,A,N,238,645,84.5,79.98999023,6,S,M,,,,U,U,Y,U,New
59,0.2475,1.56,751,-380.25,36.33333333,24.66666667,19.75666667,67.33333333,83.07,140.6666667,196.82,AA,N,4116,11316,1127.8,149.9899902,5,,,,,,,,,,
60,0,5,103,45.75,5,2.666666667,2.823333333,22.66666667,24.41666667,11,88.61,AA,N,655,2728,262.2,79.98999023,4,S,U,,A,,U,U,U,U,UNKNOWN
61,0.66,82.89,517,-246.3333333,15.66666667,54.66666667,214.81,4.333333333,12.13333333,69,295.0166667,AA,N,2267,7785,518.67,99.98999023,5,,U,,,,U,U,U,U,UNKNOWN
62,0.99,1.98,78,-29.75,0.333333333,2.666666667,2.386666667,12.33333333,18.98333333,3,5.993333333,AA,N,327,844,70.33,79.98999023,1,M,M,,,,U,U,U,U,New
63,3.7125,237.93,719,379,11.33333333,15.66666667,22.06333333,73.66666667,185.7166667,25.33333333,69.13333333,AA,N,617,2878,190.67,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
64,0,0,132,-70,5.333333333,7,6.156666667,8,18.16333333,14,45.59333333,AA,N,695,4741,249.18,79.98999023,5,,U,,,,U,U,U,U,UNKNOWN
65,1.7325,44.44,242,-12.75,24.66666667,83,83.48,116,225.7333333,186.6666667,426.8733333,BA,N,5128,15278,748.45,79.98999023,5,,U,,,,U,U,U,U,UNKNOWN
66,0,0,72,33,3,0.333333333,0.123333333,17.33333333,55.17,17.66666667,22.78333333,AA,N,259,755,94,149.9899902,12,M,U,,B,,U,U,U,U,New
67,1.7325,71.55,561,-235,69.66666667,28.33333333,17.25333333,115.6666667,106.4966667,112.6666667,86.12,BA,N,3474,5481,288.47,29.98999023,3,S,M,,A,,U,U,Y,U,UNKNOWN
68,0.99,11.67,99,-27.5,20.66666667,13.33333333,13.62666667,83,103.7033333,13,17.78,A,N,1565,3402,109.68,29.98999023,6,S,U,,,,U,U,U,U,UNKNOWN
69,0,6.58,21,-5.25,0,0,0,0,0,0,0,B,N,190,328,18.06,149.9899902,10,S,M,Y,A,Y,U,U,U,U,UNKNOWN
70,0.495,66.25,370,205.5,9.333333333,49.66666667,34.43666667,86.33333333,220.5533333,61,75.61333333,BA,N,1338,3576,396.33,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
71,0,0.54,61,-35.75,9.666666667,6.666666667,3.173333333,14.66666667,12.20666667,29.66666667,21.11333333,U,N,407,656,59,129.9899902,5,,B,,,,U,U,U,U,UNKNOWN
72,0,5.26,5,-1.25,0.666666667,0.666666667,1.256666667,1.333333333,2.783333333,0,0,AA,N,12600,42766.16,989.47,79.98999023,15,S,S,,A,Y,Y,U,U,U,New
73,0.7425,81.49,603,370.5,35.66666667,38.33333333,37.33666667,121.3333333,185.4666667,102.6666667,132.5633333,BA,N,1138,2367,389,59.98999023,5,,U,,,,U,U,U,U,UNKNOWN
74,0,0.64,161,22.5,20.66666667,3.333333333,0.93,55,74.64333333,8.333333333,22.7,CA,N,961,2843,222.58,59.98999023,5,,U,,,,U,U,U,U,UNKNOWN
75,0,0,22,14.25,0.333333333,0,0,4.666666667,3.36,4.333333333,4.3,B,N,575,841,31.42,29.98999023,3,S,M,,A,,U,U,U,U,UNKNOWN
76,0.2475,92.94,1337,20,32,59.33333333,65.58333333,111.3333333,238.5066667,135.6666667,383.9466667,A,N,3374,11198,911.25,29.98999023,7,,M,,,,U,U,Y,U,New
77,0.2475,0.99,40,-4.5,5.333333333,12,8.856666667,54.66666667,60.13,15,13.47333333,AA,N,2056,3313,143.83,29.98999023,11,S,M,,A,Y,U,U,Y,U,New
78,0,0,100,43.5,6.333333333,16.66666667,12.99666667,68.66666667,144.5866667,7.666666667,22.29333333,AA,N,1855,4465,195.14,29.98999023,0,S,M,,,,U,U,U,U,New
79,0,3.5,25,-4.5,0.333333333,0,0,0.333333333,0.206666667,3,3.92,A,N,52,86,2.86,29.98999023,1,S,A,,,,U,U,U,U,New
80,0,0.39,414,-3.5,35.33333333,13.33333333,13.69333333,45.33333333,45.80333333,83.33333333,105.04,CA,N,1179,1977,161.83,29.98999023,15,S,M,,,,U,U,Y,Y,New
81,0.2475,1.89,258,-93.5,9.666666667,0,0,25.66666667,38.05666667,15,37.07666667,A,N,9482,17010,566.7,29.98999023,9,S,U,,A,Y,U,U,U,U,UNKNOWN
82,0,59.99,0,0,0,0,0,0,0,0,0,AA,N,797,2737,210.54,149.9899902,1,S,B,,B,,U,U,U,U,New
83,0.495,1.98,284,-12.25,16,48.66666667,57.15333333,249.6666667,691.1833333,44.33333333,68.99666667,A,N,6452,15939,884.06,59.98999023,5,S,M,Y,A,,U,Y,Y,Y,New
84,0.7425,27.99,219,-89,4,0.333333333,0.423333333,50,61.43,10,9.953333333,A,N,2810,5702,203.64,29.98999023,1,,U,,,,U,U,U,U,New
85,0.495,24.84,741,-77.5,15.33333333,16,17.46333333,138.6666667,352.4366667,100.6666667,410.0433333,AA,N,3535,11618,1083.6,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
86,0.2475,15.75,242,-3.5,0,0,0,0,0,0,0,AA,N,1597,4243,353.25,9.989997864,5,,U,,,,U,U,U,U,UNKNOWN
87,0,0,99,17.25,14.66666667,2.666666667,0.996666667,48.33333333,128.3166667,21.66666667,239.59,BA,N,1052,4682,359.85,59.98999023,14,S,M,,A,Y,U,Y,U,U,New
88,0.99,72.51,561,-150.5,84.33333333,62,32.81333333,192.3333333,233.1733333,345.3333333,303.2266667,ZA,Y,6287,10835,1076.2,99.98999023,1,S,M,,,,U,U,U,U,New
89,0.2475,11.79,363,-65.25,14.33333333,9.333333333,8.856666667,58.33333333,130.0766667,28.66666667,135.9633333,AA,N,528,3642,475.14,59.98999023,2,S,U,,A,,Y,U,U,U,UNKNOWN
90,0,8.97,403,-158.5,0,0,0,0,0,0,0,AA,N,1741,6667,666.1,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
91,0.2475,53.1,1228,-841.25,45.66666667,176.3333333,288.2333333,199.6666667,361.8766667,202.6666667,610.69,CA,Y,4777,16990,1412.08,129.9899902,12,S,U,,,,U,U,Y,U,UNKNOWN
92,0,111.95,594,-234.25,11.33333333,14,16.73666667,50,96.99666667,13.66666667,36.30666667,B,N,2154,5605,175.48,29.98999023,11,S,M,,A,,U,U,U,U,New
93,0,0.39,202,-81.75,0,0,0,0,0,0,0,AA,N,444,2116,235.11,149.9899902,15,S,S,Y,A,Y,U,U,U,U,New
94,0,14.5,150,-31.5,7.333333333,2.333333333,1.356666667,9,18.89,9.666666667,22.68,AA,N,547,1464,76.84,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
95,1.98,4.25,288,-3.5,17,25.33333333,15.68,45.66666667,47.50333333,60.33333333,105.0933333,DA,Y,2181,5560,397.14,149.9899902,15,S,M,Y,A,Y,U,U,U,Y,New
96,1.98,152.4,999,469.5,23.33333333,39.33333333,98.06666667,85,293.7,72.33333333,467.12,B,N,1338,6343,633.4,149.9899902,5,,B,,,,U,U,U,U,New
97,0,61.2,270,-83.75,22.33333333,27.66666667,31.72666667,138.3333333,225.3833333,49.33333333,70.32666667,AA,N,2577,5646,434.15,29.98999023,5,,U,,,,U,U,U,U,UNKNOWN
98,0,11.2,227,132.5,6.333333333,4.333333333,13.54666667,16.66666667,46.68,12,88.28,CA,Y,303,1143,189.67,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
99,0,54.32,541,379,6.666666667,3.333333333,2.983333333,27.33333333,77.50333333,4.666666667,18.39666667,AA,N,2190,9268,386.17,59.98999023,3,S,U,,,,U,U,U,U,New
100,0,0.17,13,8.5,1.666666667,0,0,2.333333333,4.763333333,0.666666667,0.706666667,AA,N,59,115,11.5,59.98999023,7,S,M,,A,,U,U,U,U,UNKNOWN
101,0,0,59,-10.5,0,0,0,0,0,0,0,BA,N,1311,3837,382.5,129.9899902,9,S,U,,A,,U,U,U,U,UNKNOWN
102,0,0.64,364,-114,5.333333333,4,4.383333333,53.66666667,118.4066667,13.66666667,37.69,EA,Y,1235,4334,240.67,149.9899902,7,S,B,,,,U,U,U,U,New
103,0,1.88,878,-540.25,112.3333333,65.33333333,87.44666667,146.3333333,283.1433333,218.6666667,646.2633333,ZA,N,2805,8490,566,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
104,2.7225,374.53,1031,-588,141.3333333,115.6666667,176.8166667,434.6666667,1243.956667,304.3333333,703.0566667,DA,N,15402,38317,1737.86,79.98999023,2,M,B,,,,U,U,U,U,UNKNOWN
105,0,16.1,242,-165.5,9,0.666666667,0.2,51.66666667,106.9566667,20,38.57,CA,N,997,2609,123.9,9.989997864,10,S,U,Y,,,U,Y,U,U,UNKNOWN
106,0,0.54,21,-10,1,0.333333333,0.023333333,8.333333333,6.933333333,4.333333333,4.923333333,G,N,310,645,22.24,29.98999023,2,S,S,,,,U,U,U,U,New
107,0,0,271,-112.75,23.33333333,30.33333333,24.72,19,11.59333333,98.66666667,236.52,AA,N,1699,8844,414.9,149.9899902,4,S,M,,A,,U,Y,U,U,UNKNOWN
108,0,94.69,963,127.5,29,49,31.78,84.33333333,171.2933333,96,569.15,AA,N,2777,10373,864.42,199.9899902,5,,U,,,,U,U,U,U,UNKNOWN
109,0.2475,87.58,443,92.75,30,54.33333333,36.85,78.33333333,232.1266667,113.3333333,265.02,EA,Y,2869,8725,457.95,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
110,0,2.04,89,-23.75,30.33333333,22.66666667,16.2,65,78.56666667,48.66666667,50.9,BA,N,1364,2992,272,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
111,0,9.2,541,248,0,0,0,0,0,0,0,DA,Y,1947,6357,464.54,59.98999023,5,,U,,,,U,U,U,U,UNKNOWN
112,0.99,153.83,264,69,25.33333333,54,68.42,112.6666667,289.6866667,88.66666667,360.3333333,A,N,3664,10128,419.13,129.9899902,10,,B,,,Y,U,U,U,U,New
113,0.495,1.53,35,21.75,1,1.666666667,2.483333333,3.666666667,2.763333333,3.333333333,6.383333333,AA,N,146,215,22,59.98999023,7,S,S,Y,,Y,U,U,Y,U,UNKNOWN
114,0,19.09,198,28.5,4.333333333,10.66666667,42.84666667,43.33333333,105.8333333,22.66666667,71.05,BA,N,842,2636,219.67,29.98999023,15,S,M,,,,U,U,U,Y,New
115,3.7125,306.27,1089,481.75,7.666666667,4.666666667,3.07,59.66666667,284.9933333,52,284.7833333,CA,N,2107,11921,380.55,129.9899902,5,,U,,,,U,U,U,U,UNKNOWN
116,0,0,152,3.25,8,8.333333333,27.51,17.33333333,18.62,9.333333333,35.91,A,N,298,956,150.33,129.9899902,13,S,M,,,,U,U,U,U,UNKNOWN
117,0,9.2,148,69.75,9.666666667,1.333333333,0.553333333,15.66666667,10.94666667,29,22.37,AA,N,1543,2550,255,149.9899902,1,S,M,,,,U,Y,Y,U,New
118,5.94,42.7,859,589.5,0,0,0,0,0,0,0,BA,N,4030,9975,901.73,149.9899902,9,S,M,Y,A,,U,U,U,U,UNKNOWN
119,0,20.06,123,39.75,8.333333333,2.666666667,4.006666667,59,176.52,12.66666667,57.53333333,AA,N,1115,3920,326.67,149.9899902,0,S,A,,,,U,U,U,U,New
120,0.7425,4.38,52,15.25,40.33333333,9.333333333,8.85,155,338.4466667,22.66666667,54.36666667,AA,N,3693,10132,504.4,9.989997864,4,S,A,,A,Y,U,Y,U,U,New
121,0,2.76,99,16,26.66666667,11.66666667,9.05,33.33333333,65.36,23.33333333,49.91,AA,N,831,1794,169.4,149.9899902,1,S,U,,,,U,U,U,U,New
122,0.99,18.55,195,-120.5,20.33333333,6.666666667,6.986666667,133,125.87,63,59.94333333,BA,N,4424,7212,421.65,79.98999023,10,S,A,,A,,U,Y,U,U,New
123,0,0,150,-31,5.666666667,0.333333333,0.193333333,14.33333333,53.38333333,13,202.5966667,AA,N,334,3381,211.13,59.98999023,1,S,M,,,,U,U,U,U,New
124,0,110.52,653,-324.75,103.6666667,27.66666667,30.35666667,167.3333333,271.86,70.66666667,173.2566667,AA,N,1570,4684,425.36,149.9899902,5,M,S,,,,U,U,U,U,UNKNOWN
125,1.485,120.05,350,168.25,78.66666667,131,103.9133333,259.6666667,278.9233333,232,314.8533333,BA,N,6815,13667,853.63,129.9899902,1,M,S,,,,U,U,U,U,UNKNOWN
126,0,0,218,-88,10,18,11.25333333,60.66666667,112.7833333,10.66666667,21.47666667,BA,N,1002,2333,165.57,129.9899902,4,,U,,,,U,U,U,U,UNKNOWN
127,0,0,144,35.5,9,25.33333333,14.31666667,45.66666667,37.67666667,40.33333333,40.47666667,U,N,2931,5063,816.5,129.9899902,15,S,M,,A,,U,U,Y,U,New
128,0,117.9,711,-321.5,78.66666667,14,7.596666667,374,573.5833333,122,186.3466667,AA,N,6160,13891,769.5,129.9899902,2,S,M,,A,,U,U,U,U,New
129,0.2475,5.57,288,-33.25,43,16.33333333,14.38,161.3333333,200.9233333,116.6666667,142.2566667,AA,N,6946,11229,467.79,99.98999023,1,S,B,,,,U,U,U,U,UNKNOWN
130,0,17.87,157,-47.5,8.666666667,11.33333333,6.526666667,24,36.54333333,29.66666667,52.18,BA,N,894,2088,204.7,149.9899902,12,S,S,Y,A,Y,U,U,U,Y,UNKNOWN
131,0,14.55,377,-27.25,15.66666667,13.66666667,9.106666667,21,80.39,34.33333333,581.6333333,AA,N,570,3900,556.71,199.9899902,2,S,U,,A,Y,U,U,U,U,New
132,0,10,11,-3.25,1,0,0,0.666666667,0.21,0,0,A,N,12521,35729.06333,710.38,149.9899902,6,S,M,,A,Y,Y,Y,U,U,New
133,0.7425,157.29,904,210.25,123.3333333,48,49.35666667,594.3333333,1148.41,371,796.38,A,N,9682,23771,2251.6,99.98999023,2,S,B,,,,U,U,U,U,New
134,0,58.1,190,95.5,24,2.666666667,2.306666667,46.33333333,157.22,43.33333333,113.4366667,ZA,Y,424,1719,214.88,99.98999023,5,,U,,,,U,U,U,U,UNKNOWN
135,0.99,94.86,548,15.25,15.33333333,11.33333333,10.00666667,145.3333333,296.0766667,41,101.59,AA,N,4497,11833,562.9,129.9899902,2,M,S,,,,U,U,U,U,UNKNOWN
136,0,108.29,218,-111,9.333333333,4.666666667,5.35,52,65.72333333,17,19.09333333,AA,N,656,1318,219.67,149.9899902,4,S,U,,A,,U,U,U,U,New
137,0.2475,1.53,27,10.25,3.666666667,3.333333333,3.97,13.33333333,18.16,8.666666667,13.67333333,AA,N,393,821,58.5,29.98999023,2,S,S,,,,U,U,U,U,New
138,1.2375,158.61,917,519.25,8,11.66666667,9.31,32.33333333,39.81666667,19.66666667,23.27,DA,Y,3253,7457,828.11,79.98999023,11,,U,,,,U,U,U,U,New
139,0,2.91,418,-157.25,22.33333333,7.666666667,5.926666667,104,264.04,17.66666667,31.37666667,J,N,2436,6578,264.75,29.98999023,5,,,,,,,,,,
140,0.7425,50.11,173,-91,71.66666667,34.33333333,42.08666667,127.3333333,271.7066667,131.6666667,188.41,BA,N,2498,6633,657.8,129.9899902,2,M,B,,,,U,U,U,U,UNKNOWN
141,0,0,121,48,16.33333333,5,2.006666667,60,65.70333333,44.66666667,83.02333333,CA,Y,1070,2607,260.7,79.98999023,5,,U,,,,U,U,U,U,UNKNOWN
142,0,0,102,-51.75,0,0,0,0,0,0,0,AA,N,1060,2334,106.09,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
143,0.495,124.33,578,-259.5,96.33333333,50,34.26666667,130,244.6733333,238.3333333,604.03,EA,Y,4534,13240,1015.38,149.9899902,5,,U,,,,U,U,U,U,UNKNOWN
144,5.6925,13.41,284,145.5,29.33333333,3.666666667,4.213333333,89.66666667,155.9733333,25.66666667,48.63666667,AA,N,1478,4144,343.25,149.9899902,1,S,M,,A,Y,U,U,U,U,New
145,1.2375,81.81,525,209,98.33333333,80,62.14333333,211.3333333,170.68,361.3333333,784.39,CA,Y,3102,7755,1287.5,99.98999023,5,,U,,,,U,U,U,U,UNKNOWN
146,0,53.97,512,-197,31,7.666666667,6.9,70,190.8633333,29.66666667,129.8233333,AA,N,526,2094,418.8,129.9899902,2,M,M,,E,,U,U,U,U,UNKNOWN
147,0,46.2,406,-214.5,0,0,0,0,0,0,0,B,N,1813,4299,403.9,29.98999023,6,M,M,,,,U,U,U,U,New
148,1.7325,81.21,163,-29,21,29,28.94333333,113.6666667,200.48,34.66666667,82.18,AA,N,1745,4251,395.8,29.98999023,13,S,M,,A,,U,U,U,U,New
